TestRun,brojTocnih,brojKrivih,Train(0)OrTest(1)
1,75,27,0
1,78,27,1
2,75,27,0
2,73,32,1
3,83,19,0
6,93,9,0
11,90,12,0
5,91,11,0
3,82,23,1
7,94,8,0
8,75,27,0
4,96,6,0
6,89,16,1
10,90,12,0
9,98,4,0
12,92,10,0
16,95,7,0
14,93,9,0
17,95,7,0
21,97,5,0
31,90,12,0
14,90,15,1
7,90,15,1
22,84,18,0
19,91,11,0
10,84,21,1
12,91,14,1
4,96,9,1
24,88,14,0
11,93,12,1
32,91,11,0
23,96,6,0
20,91,11,0
16,97,8,1
18,91,11,0
9,95,10,1
21,97,8,1
5,94,11,1
26,87,15,0
25,88,14,0
13,88,14,0
45,99,3,0
41,98,4,0
33,93,9,0
38,94,8,0
53,96,6,0
39,99,3,0
26,93,12,1
71,93,9,0

79,98,4,0
40,97,5,0
22,88,17,1
52,98,4,0
39,99,6,1
59,97,5,0

55,97,5,0
66,95,7,0
35,96,6,0
20,92,13,1
88,96,6,0
43,88,14,0
30,97,5,0
60,92,10,0
24,90,15,1
42,91,11,0
53,95,10,1
46,88,14,0
45,100,5,1
85,100,2,0
62,100,2,0
61,93,9,0
49,99,3,0
37,97,5,0
38,99,6,1
41,100,5,1
70,97,5,0
57,99,3,0
13,88,17,1
90,94,8,0
65,91,11,0
86,96,6,0
25,90,15,1
64,98,4,0
36,82,20,0
23,94,11,1
92,95,7,0
19,89,16,1
67,95,7,0
31,91,14,1
51,94,8,0
27,94,8,0
68,94,8,0
79,95,10,1
99,93,9,0
55,96,9,1
32,90,15,1
59,94,11,1
76,84,18,0
35,98,7,1
15,78,27,1
97,97,5,0
54,99,6,1
37,98,7,1
62,101,4,1
82,96,6,0
34,92,13,1
29,82,20,0
56,97,8,1
94,95,7,0
80,91,11,0
87,92,13,1
81,97,5,0
69,82,20,0
75,91,14,1
61,92,13,1
33,91,14,1
70,94,11,1
49,99,6,1
95,94,8,0
96,73,29,0
50,77,25,0
30,94,11,1
91,83,19,0
57,98,7,1
66,94,11,1
98,83,19,0
78,81,21,0
40,98,7,1
93,88,14,0
46,88,17,1
47,92,10,0
28,82,23,1
71,90,15,1
88,95,10,1
84,76,26,0
100,75,27,0
74,93,9,0
42,95,10,1
83,90,12,0
52,95,10,1
44,89,16,1
51,99,6,1
27,94,11,1
81,101,4,1
64,97,8,1
67,97,8,1
77,98,7,1
65,95,10,1
97,97,8,1
99,95,10,1
92,91,14,1
82,95,10,1
86,95,10,1
95,91,14,1
68,91,14,1
48,97,8,1
94,93,12,1
74,93,12,1
83,89,16,1
80,89,16,1
47,91,14,1
63,84,21,1
90,90,15,1
89,84,21,1
69,80,25,1
76,87,18,1
29,85,20,1
91,81,24,1
36,81,24,1
72,80,25,1
58,82,23,1
98,80,25,1
78,79,26,1
73,74,31,1
100,78,27,1
50,75,30,1
93,85,20,1
84,77,28,1
96,71,34,1
