TestRun,brojTocnih,brojKrivih,Train(0)OrTest(1)
1,73,91,0
1,76,91,1
2,102,62,0
2,96,71,1
3,76,88,0
3,74,93,1
4,67,97,0
4,68,99,1
5,61,103,0
15,62,102,0
11,75,89,0
5,68,99,1
7,79,85,0
13,61,103,0
14,99,65,0
9,77,87,0
6,61,103,0
12,57,107,0
8,78,86,0
10,104,60,0
18,84,80,0
26,83,81,0
7,87,80,1
27,98,66,0
22,78,86,0
31,82,82,0
10,107,60,1
23,76,88,0
14,99,68,1
11,82,85,1
41,90,74,0
20,67,97,0
12,56,111,1
43,71,93,0
37,93,71,0
83,102,62,0
75,88,76,0
58,70,94,0
86,114,50,0
15,62,105,1
30,61,103,0
42,62,102,0
51,86,78,0
73,100,64,0
49,61,103,0
6,68,99,1
39,63,101,0
64,49,115,0
69,88,76,0
52,61,103,0
21,81,83,0
79,103,61,0
9,83,84,1
27,104,63,1
71,67,97,0
55,101,63,0
62,106,58,0
91,67,97,0

76,61,103,0
87,76,88,0
50,100,64,0
63,71,93,0
45,69,95,0
46,86,78,0
53,61,103,0
66,117,47,0
36,73,91,0

28,90,74,0
47,56,108,0
38,64,100,0
17,65,99,0
57,78,86,0
29,49,115,0
72,66,98,0
24,83,81,0
34,69,95,0
41,97,70,1
68,68,96,0
32,58,106,0
65,76,88,0
56,71,93,0
13,68,99,1
61,66,98,0
8,86,81,1
40,75,89,0
44,87,77,0
48,73,91,0
33,72,92,0
31,88,79,1
22,79,88,1
67,61,103,0
18,75,92,1
20,74,93,1
23,79,88,1
26,85,82,1
81,113,51,0
92,66,98,0
82,119,48,1
86,114,53,1
66,120,47,1
25,104,63,1
62,101,66,1
90,115,52,1
73,103,64,1
80,84,80,0
94,100,67,1
55,100,67,1
50,100,67,1
78,90,77,1
28,97,70,1
37,89,78,1
83,104,63,1
57,84,83,1
44,88,79,1
89,61,103,0
46,85,82,1
21,88,79,1
45,79,88,1
69,97,70,1
36,74,93,1
93,61,103,0
75,85,82,1
54,68,99,1
70,86,81,1
79,96,71,1
43,72,95,1
91,74,93,1
51,91,76,1
81,112,55,1
59,76,91,1
58,74,93,1
88,68,96,0
53,68,99,1
74,68,99,1
24,80,87,1
87,79,88,1
68,71,96,1
72,67,100,1
34,70,97,1
33,73,94,1
85,61,103,0
38,71,96,1
61,68,99,1
56,72,95,1
63,77,90,1
52,68,99,1
42,69,98,1
77,61,103,0
60,68,99,1
16,68,99,1
40,77,90,1
30,68,99,1
71,74,93,1
39,60,107,1
84,105,62,1
80,85,82,1
67,68,99,1
35,70,97,1
47,63,104,1
17,67,100,1
29,49,118,1
92,71,96,1
64,49,118,1
89,68,99,1
93,68,99,1
32,58,109,1
85,68,99,1
88,75,92,1
77,68,99,1
95,106,58,0
95,105,62,1
99,96,68,0
99,100,67,1
98,47,117,0
98,50,117,1
96,62,102,0
96,69,98,1
100,64,100,0
100,68,99,1
97,67,97,0
97,67,100,1
